file	line	symbol	construct	text
src/sql/engine/expr/ob_datum_cast.cpp	12841	ObDatumCaster::init	sizeof(ObDatum) in: const int64_t datum_eval_info_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through datum_eval_info_size: int64_t frame_size = (datum_eval_info_size + sizeof(ObDynReserveBuf) + res_buf_len) * 2	const int64_t datum_eval_info_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/engine/expr/ob_datum_cast.cpp	12841	ObDatumCaster::init	sizeof(ObEvalInfo) in: const int64_t datum_eval_info_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through datum_eval_info_size: int64_t frame_size = (datum_eval_info_size + sizeof(ObDynReserveBuf) + res_buf_len) * 2	const int64_t datum_eval_info_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/engine/expr/ob_expr_frame_info.h	70	ObExprFrameInfo	sizeof(ObDatum) in: public: static const int64_t EXPR_CNT_PER_FRAME = common::MAX_FRAME_SIZE / (sizeof(ObDatum) + sizeof(ObEvalInfo))	common::MAX_FRAME_SIZE / (sizeof(ObDatum) + sizeof(ObEvalInfo));
src/sql/engine/expr/ob_expr_frame_info.h	70	ObExprFrameInfo	sizeof(ObEvalInfo) in: public: static const int64_t EXPR_CNT_PER_FRAME = common::MAX_FRAME_SIZE / (sizeof(ObDatum) + sizeof(ObEvalInfo))	common::MAX_FRAME_SIZE / (sizeof(ObDatum) + sizeof(ObEvalInfo));
src/sql/engine/expr/ob_expr_func_dump.cpp	243	ObExprFuncDump::eval_dump	sizeof(buf) in: if (OB_FAIL(databuff_print_decimalint( expr.args_[0]->datum_meta_, *input, buf, sizeof(buf), buf_pos)))	expr.args_[0]->datum_meta_, *input, buf, sizeof(buf), buf_pos))) {
src/sql/engine/expr/ob_expr_operator.cpp	3386	ObSubQueryRelationalExpr::check_exists	sizeof(ObDatum) in: int64_t need_size = sizeof(ObDatum) + sizeof(int64_t); reaches a decision through need_size: bool can_insert = iter->check_can_insert(need_size)	int64_t need_size = sizeof(ObDatum) + sizeof(int64_t);
src/sql/engine/expr/ob_expr_operator.cpp	3386	ObSubQueryRelationalExpr::check_exists	sizeof(int64_t) in: int64_t need_size = sizeof(ObDatum) + sizeof(int64_t); reaches a decision through need_size: bool can_insert = iter->check_can_insert(need_size)	int64_t need_size = sizeof(ObDatum) + sizeof(int64_t);
src/sql/engine/expr/ob_expr_operator.cpp	3388	ObSubQueryRelationalExpr::check_exists	sizeof(ObDatum) in: need_size += (iter->probe_row_.elems_[i].len_ + sizeof(ObDatum)); reaches a decision through need_size: bool can_insert = iter->check_can_insert(need_size)	need_size += (iter->probe_row_.elems_[i].len_ + sizeof(ObDatum));
src/sql/engine/expr/ob_expr_subquery_ref.cpp	266	ObExprSubQueryRef::expr_eval	sizeof(ObDatum) in: int64_t need_size = datum->len_ + sizeof(ObDatum); reaches a decision through need_size: bool can_insert = iter->check_can_insert(need_size)	int64_t need_size =  datum->len_ + sizeof(ObDatum);
src/sql/engine/expr/ob_expr_subquery_ref.cpp	268	ObExprSubQueryRef::expr_eval	sizeof(ObDatum) in: need_size += (iter->probe_row_.elems_[i].len_ + sizeof(ObDatum)); reaches a decision through need_size: bool can_insert = iter->check_can_insert(need_size)	need_size += (iter->probe_row_.elems_[i].len_ + sizeof(ObDatum));
src/sql/engine/join/ob_hash_join_op.cpp	838	ObHashJoinOp::inner_get_next_row	sizeof(uint64_t) in: if (sizeof(uint64_t) * CHAR_BIT <= part_shift_)	if (sizeof(uint64_t) * CHAR_BIT <= part_shift_) {
src/sql/engine/join/ob_hash_join_op.cpp	1331	ObHashJoinOp::get_max_memory_size	sizeof(uint16_t) in: part_selector_sizes_ = reinterpret_cast<uint16_t *>(buf + sizeof(uint16_t) * (MY_SPEC.max_batch_size_ * part_count_))	sizeof(uint16_t) * (MY_SPEC.max_batch_size_ * part_count_));
src/sql/engine/join/ob_hash_join_op.cpp	1344	ObHashJoinOp::calc_bucket_number	sizeof(HTBucket) in: if (bucket_cnt * 2 * sizeof(HTBucket) <= INIT_L2_CACHE_SIZE)	if (bucket_cnt * 2 * sizeof(HTBucket) <= INIT_L2_CACHE_SIZE) {
src/sql/engine/join/ob_hash_join_op.cpp	1785	ObHashJoinOp::need_more_remain_data_memory_size	sizeof(HTBucket) in: extra_memory_size += bucket_cnt * (sizeof(HTBucket)); reaches a decision through extra_memory_size: int64_t predict_total_memory_size = extra_memory_size + get_data_mem_used()	extra_memory_size += bucket_cnt * (sizeof(HTBucket));
src/sql/engine/join/ob_hash_join_op.cpp	1798	ObHashJoinOp::need_more_remain_data_memory_size	sizeof(HashJoinHistogram) in: extra_memory_size += sizeof(HashJoinHistogram) + HashJoinHistogram::calc_memory_size(hj_part.get_row_count_in_memory()); reaches a decision through extra_memory_size: int64_t predict_total_memory_size = extra_memory_size + get_data_mem_used()	extra_memory_size += sizeof(HashJoinHistogram)
src/sql/engine/join/ob_hash_join_op.cpp	2504	ObHashJoinOp::can_use_cache_aware_opt	sizeof(HashJoinHistogram) in: total_memory_size += sizeof(HashJoinHistogram) + HashJoinHistogram::calc_memory_size(hj_part.get_row_count_in_memory()); reaches a decision through total_memory_size: enable_cache_aware = total_memory_size < sql_mem_processor_.get_mem_bound()	total_memory_size += sizeof(HashJoinHistogram)
src/sql/engine/join/ob_hash_join_op.cpp	4385	ObHashJoinOp::read_hashrow_batch	sizeof(ObHashJoinStoredJoinRow) in: else if (sizeof(ObHashJoinStoredJoinRow) + left_->get_spec().output_.count() * sizeof(ObDatum) <= L1_CACHE_SIZE)	} else if (sizeof(ObHashJoinStoredJoinRow)
src/sql/engine/join/ob_hash_join_op.cpp	4386	ObHashJoinOp::read_hashrow_batch	sizeof(ObDatum) in: else if (sizeof(ObHashJoinStoredJoinRow) + left_->get_spec().output_.count() * sizeof(ObDatum) <= L1_CACHE_SIZE)	+ left_->get_spec().output_.count() * sizeof(ObDatum) <= L1_CACHE_SIZE) {
src/sql/engine/join/ob_hash_join_op.h	677	ObHashJoinOp::HashJoinHistogram::calc_memory_size	sizeof(HistItem) in: return next_pow2(row_count * RATIO_OF_BUCKETS) * (sizeof(HistItem) * 2 + sizeof(int64_t))	return next_pow2(row_count * RATIO_OF_BUCKETS) * (sizeof(HistItem) * 2 + sizeof(int64_t));
src/sql/engine/join/ob_hash_join_op.h	677	ObHashJoinOp::HashJoinHistogram::calc_memory_size	sizeof(int64_t) in: return next_pow2(row_count * RATIO_OF_BUCKETS) * (sizeof(HistItem) * 2 + sizeof(int64_t))	return next_pow2(row_count * RATIO_OF_BUCKETS) * (sizeof(HistItem) * 2 + sizeof(int64_t));
src/sql/engine/join/ob_hash_join_op.h	1031	ObHashJoinOp::get_extra_memory_size	sizeof(HTBucket) in: int64_t res = bucket_cnt * (sizeof(HTBucket))	int64_t res = bucket_cnt * (sizeof(HTBucket));
src/sql/engine/ob_physical_plan_ctx.cpp	309	ObPhysicalPlanCtx::reserve_param_frame	sizeof(ObDatum) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: int64_t cnt_per_frame = common::MAX_FRAME_SIZE / item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/engine/ob_physical_plan_ctx.cpp	309	ObPhysicalPlanCtx::reserve_param_frame	sizeof(ObEvalInfo) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: int64_t cnt_per_frame = common::MAX_FRAME_SIZE / item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/engine/ob_physical_plan_ctx.cpp	403	ObPhysicalPlanCtx::get_param_frame_info	sizeof(ObDatum) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: int64_t cnt_per_frame = common::MAX_FRAME_SIZE / item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/engine/ob_physical_plan_ctx.cpp	403	ObPhysicalPlanCtx::get_param_frame_info	sizeof(ObEvalInfo) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: int64_t cnt_per_frame = common::MAX_FRAME_SIZE / item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/engine/px/ob_granule_iterator_op.cpp	1198	ObGranuleIteratorOp::do_join_filter_partition_pruning	sizeof(tablet_id) in: datum.len_ = sizeof(tablet_id)	datum.len_ = sizeof(tablet_id);
src/sql/engine/px/ob_px_util.h	440	ObPxTreeSerializer::serialize_frame_info	sizeof(ObDatum) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: int64_t expr_mem_size = no_ser_data ? 0 : frame_info.expr_cnt_ * item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/engine/px/ob_px_util.h	440	ObPxTreeSerializer::serialize_frame_info	sizeof(ObEvalInfo) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: int64_t expr_mem_size = no_ser_data ? 0 : frame_info.expr_cnt_ * item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/engine/px/ob_px_util.h	730	ObPxTreeSerializer::get_serialize_frame_info_size	sizeof(ObDatum) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: int64_t expr_mem_size = no_ser_data ? 0 : frame_info.expr_cnt_ * item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/engine/px/ob_px_util.h	730	ObPxTreeSerializer::get_serialize_frame_info_size	sizeof(ObEvalInfo) in: const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo); reaches a decision through item_size: int64_t expr_mem_size = no_ser_data ? 0 : frame_info.expr_cnt_ * item_size	const int64_t item_size = sizeof(ObDatum) + sizeof(ObEvalInfo);
src/sql/engine/subquery/ob_subplan_filter_op.cpp	644	ObSubPlanFilterOp::inner_open	sizeof(ObDatum) in: if (OB_FAIL(iter->init_hashmap(max( 16 , min(get_child(0)->get_spec().get_rows(), iter->HASH_MAP_MEMORY_LIMIT / static_cast<int64_t>(sizeof(ObDatum)))))))	iter->HASH_MAP_MEMORY_LIMIT / static_cast<int64_t>(sizeof(ObDatum))))))) {
src/sql/engine/window_function/ob_window_function_op.cpp	3160	ObWindowFunctionOp::store_all_expr_datums	sizeof(ObDatum) in: int64_t memcpy_length = (store_begin_idx + store_num - restore_row_cnt_) * sizeof(ObDatum)	int64_t memcpy_length = (store_begin_idx + store_num - restore_row_cnt_) * sizeof(ObDatum);
src/sql/engine/window_function/ob_window_function_op.cpp	3182	ObWindowFunctionOp::restore_all_expr_datums	sizeof(ObDatum) in: int64_t memcpy_length = restore_row_cnt_ * sizeof(ObDatum)	int64_t memcpy_length = restore_row_cnt_ * sizeof(ObDatum);
